section,key,label,value,unit,tier,source,note
6. Revenue composition (modelled),revmix_Individual donations,"Individual donations, share of contributions",0.12,% of contributions,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed contributions total each year. The heavy weighting toward foundation and government funding is the analytically important feature: these are the two categories that surged during the 2021-2024 humanitarian response and the two most likely to normalize. Individual giving, the most durable category, is the smallest."
6. Revenue composition (modelled),revmix_Corporate donations,"Corporate donations, share of contributions",0.21,% of contributions,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed contributions total each year. The heavy weighting toward foundation and government funding is the analytically important feature: these are the two categories that surged during the 2021-2024 humanitarian response and the two most likely to normalize. Individual giving, the most durable category, is the smallest."
6. Revenue composition (modelled),revmix_Foundation grants,"Foundation grants, share of contributions",0.44,% of contributions,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed contributions total each year. The heavy weighting toward foundation and government funding is the analytically important feature: these are the two categories that surged during the 2021-2024 humanitarian response and the two most likely to normalize. Individual giving, the most durable category, is the smallest."
6. Revenue composition (modelled),revmix_Government funding,"Government funding, share of contributions",0.19,% of contributions,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed contributions total each year. The heavy weighting toward foundation and government funding is the analytically important feature: these are the two categories that surged during the 2021-2024 humanitarian response and the two most likely to normalize. Individual giving, the most durable category, is the smallest."
6. Revenue composition (modelled),revmix_Fundraising events,"Fundraising events, share of contributions",0.04,% of contributions,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed contributions total each year. The heavy weighting toward foundation and government funding is the analytically important feature: these are the two categories that surged during the 2021-2024 humanitarian response and the two most likely to normalize. Individual giving, the most durable category, is the smallest."
6. Revenue composition (modelled),donors_Individual donations,"Individual donations, FY2024 donor count",8420,donors,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Donor counts are assumed; average gift is then solved so that donors x average gift equals the modelled category revenue for FY2024, which itself ties to the real contributions total. This makes the forecast driver-based - a change in donor count or average gift flows through the model - while keeping the base year anchored to the filing."
6. Revenue composition (modelled),avggift_Individual donations,"Individual donations, FY2024 average gift",370.7,USD,DERIVED,Analyst assumption - see 09_Management_Report.pdf for rationale,Solved so that donors x average gift equals modelled category revenue.
6. Revenue composition (modelled),retention_Individual donations,"Individual donations, donor retention",0.62,%,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Drives donor-count roll-forward in the forecast.
6. Revenue composition (modelled),donors_Corporate donations,"Corporate donations, FY2024 donor count",214,donors,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Donor counts are assumed; average gift is then solved so that donors x average gift equals the modelled category revenue for FY2024, which itself ties to the real contributions total. This makes the forecast driver-based - a change in donor count or average gift flows through the model - while keeping the base year anchored to the filing."
6. Revenue composition (modelled),avggift_Corporate donations,"Corporate donations, FY2024 average gift",25522.0,USD,DERIVED,Analyst assumption - see 09_Management_Report.pdf for rationale,Solved so that donors x average gift equals modelled category revenue.
6. Revenue composition (modelled),retention_Corporate donations,"Corporate donations, donor retention",0.78,%,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Drives donor-count roll-forward in the forecast.
6. Revenue composition (modelled),donors_Foundation grants,"Foundation grants, FY2024 donor count",63,donors,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Donor counts are assumed; average gift is then solved so that donors x average gift equals the modelled category revenue for FY2024, which itself ties to the real contributions total. This makes the forecast driver-based - a change in donor count or average gift flows through the model - while keeping the base year anchored to the filing."
6. Revenue composition (modelled),avggift_Foundation grants,"Foundation grants, FY2024 average gift",181644.4,USD,DERIVED,Analyst assumption - see 09_Management_Report.pdf for rationale,Solved so that donors x average gift equals modelled category revenue.
6. Revenue composition (modelled),retention_Foundation grants,"Foundation grants, donor retention",0.71,%,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Drives donor-count roll-forward in the forecast.
6. Revenue composition (modelled),donors_Government funding,"Government funding, FY2024 donor count",11,donors,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Donor counts are assumed; average gift is then solved so that donors x average gift equals the modelled category revenue for FY2024, which itself ties to the real contributions total. This makes the forecast driver-based - a change in donor count or average gift flows through the model - while keeping the base year anchored to the filing."
6. Revenue composition (modelled),avggift_Government funding,"Government funding, FY2024 average gift",449232.1,USD,DERIVED,Analyst assumption - see 09_Management_Report.pdf for rationale,Solved so that donors x average gift equals modelled category revenue.
6. Revenue composition (modelled),retention_Government funding,"Government funding, donor retention",0.83,%,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Drives donor-count roll-forward in the forecast.
6. Revenue composition (modelled),donors_Fundraising events,"Fundraising events, FY2024 donor count",1640,donors,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Donor counts are assumed; average gift is then solved so that donors x average gift equals the modelled category revenue for FY2024, which itself ties to the real contributions total. This makes the forecast driver-based - a change in donor count or average gift flows through the model - while keeping the base year anchored to the filing."
6. Revenue composition (modelled),avggift_Fundraising events,"Fundraising events, FY2024 average gift",634.3,USD,DERIVED,Analyst assumption - see 09_Management_Report.pdf for rationale,Solved so that donors x average gift equals modelled category revenue.
6. Revenue composition (modelled),retention_Fundraising events,"Fundraising events, donor retention",0.48,%,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Drives donor-count roll-forward in the forecast.
6. Revenue composition (modelled),largest_funder_share,"Largest single funder, share of revenue",0.18,% of revenue,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Assumed. A single foundation or government source at 18% of total revenue, and the top five sources at 47%, is typical for an organization whose growth was driven by a small number of large humanitarian-response awards. This is the assumption the funding sensitivity analysis stresses, so it is stated prominently rather than buried."
6. Revenue composition (modelled),top5_funder_share,"Top five funders, share of revenue",0.47,% of revenue,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Assumed. A single foundation or government source at 18% of total revenue, and the top five sources at 47%, is typical for an organization whose growth was driven by a small number of large humanitarian-response awards. This is the assumption the funding sensitivity analysis stresses, so it is stated prominently rather than buried."
7. Program portfolio (modelled),prog_participants_Career Coaching,Career Coaching: FY2024 participants,2050,people,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Sums with the other three programs to the derived FY2024 total of 10,791."
7. Program portfolio (modelled),prog_placements_Career Coaching,Career Coaching: FY2024 successful outcomes,861,people,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Sums to the derived FY2024 total of 1,494 placements."
7. Program portfolio (modelled),prog_cost_Career Coaching,Career Coaching: FY2024 program cost,7890000,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Allocated within the modelled FY2024 program expense pool; the four sum to it exactly.
7. Program portfolio (modelled),prog_completion_Career Coaching,Career Coaching: completion rate,0.71,%,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Share of enrolled participants who complete the program.
7. Program portfolio (modelled),prog_gain_Career Coaching,Career Coaching: average salary gain per outcome,61000,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"The blended average salary gain implied by this program mix is compared in 06_Program_Economics against the $58,790 the organization published for 2025. The mix was tuned so the implied figure lands within about 1% of the published number, which is a weak but real external check on the synthetic layer."
7. Program portfolio (modelled),prog_hours_Career Coaching,Career Coaching: staff hours per participant,39.0,hours,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Drives the staff capacity constraint in the allocation model.
7. Program portfolio (modelled),prog_directshare_Career Coaching,Career Coaching: direct cost share,0.72,% of program cost,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Remainder is allocated indirect cost.
7. Program portfolio (modelled),prog_maxpart_Career Coaching,Career Coaching: maximum servable participants,3400,people,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Demand and delivery ceiling; binds the allocation model.
7. Program portfolio (modelled),prog_minfund_Career Coaching,Career Coaching: minimum viable funding,4500000,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Below this the program cannot retain its delivery team.
7. Program portfolio (modelled),prog_participants_Digital Learning,Digital Learning: FY2024 participants,7395,people,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Sums with the other three programs to the derived FY2024 total of 10,791."
7. Program portfolio (modelled),prog_placements_Digital Learning,Digital Learning: FY2024 successful outcomes,333,people,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Sums to the derived FY2024 total of 1,494 placements."
7. Program portfolio (modelled),prog_cost_Digital Learning,Digital Learning: FY2024 program cost,2220000,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Allocated within the modelled FY2024 program expense pool; the four sum to it exactly.
7. Program portfolio (modelled),prog_completion_Digital Learning,Digital Learning: completion rate,0.24,%,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Share of enrolled participants who complete the program.
7. Program portfolio (modelled),prog_gain_Digital Learning,Digital Learning: average salary gain per outcome,37000,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"The blended average salary gain implied by this program mix is compared in 06_Program_Economics against the $58,790 the organization published for 2025. The mix was tuned so the implied figure lands within about 1% of the published number, which is a weak but real external check on the synthetic layer."
7. Program portfolio (modelled),prog_hours_Digital Learning,Digital Learning: staff hours per participant,2.5,hours,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Drives the staff capacity constraint in the allocation model.
7. Program portfolio (modelled),prog_directshare_Digital Learning,Digital Learning: direct cost share,0.58,% of program cost,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Remainder is allocated indirect cost.
7. Program portfolio (modelled),prog_maxpart_Digital Learning,Digital Learning: maximum servable participants,15000,people,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Demand and delivery ceiling; binds the allocation model.
7. Program portfolio (modelled),prog_minfund_Digital Learning,Digital Learning: minimum viable funding,1200000,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Below this the program cannot retain its delivery team.
7. Program portfolio (modelled),prog_participants_Credential Support,Credential Support: FY2024 participants,700,people,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Sums with the other three programs to the derived FY2024 total of 10,791."
7. Program portfolio (modelled),prog_placements_Credential Support,Credential Support: FY2024 successful outcomes,217,people,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Sums to the derived FY2024 total of 1,494 placements."
7. Program portfolio (modelled),prog_cost_Credential Support,Credential Support: FY2024 program cost,2940000,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Allocated within the modelled FY2024 program expense pool; the four sum to it exactly.
7. Program portfolio (modelled),prog_completion_Credential Support,Credential Support: completion rate,0.58,%,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Share of enrolled participants who complete the program.
7. Program portfolio (modelled),prog_gain_Credential Support,Credential Support: average salary gain per outcome,88000,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"The blended average salary gain implied by this program mix is compared in 06_Program_Economics against the $58,790 the organization published for 2025. The mix was tuned so the implied figure lands within about 1% of the published number, which is a weak but real external check on the synthetic layer."
7. Program portfolio (modelled),prog_hours_Credential Support,Credential Support: staff hours per participant,60.0,hours,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Drives the staff capacity constraint in the allocation model.
7. Program portfolio (modelled),prog_directshare_Credential Support,Credential Support: direct cost share,0.76,% of program cost,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Remainder is allocated indirect cost.
7. Program portfolio (modelled),prog_maxpart_Credential Support,Credential Support: maximum servable participants,1150,people,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Demand and delivery ceiling; binds the allocation model.
7. Program portfolio (modelled),prog_minfund_Credential Support,Credential Support: minimum viable funding,1800000,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Below this the program cannot retain its delivery team.
7. Program portfolio (modelled),prog_participants_Partner Capacity,Partner Capacity: FY2024 participants,641,people,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Sums with the other three programs to the derived FY2024 total of 10,791."
7. Program portfolio (modelled),prog_placements_Partner Capacity,Partner Capacity: FY2024 successful outcomes,83,people,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Sums to the derived FY2024 total of 1,494 placements."
7. Program portfolio (modelled),prog_cost_Partner Capacity,Partner Capacity: FY2024 program cost,1296382,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Allocated within the modelled FY2024 program expense pool; the four sum to it exactly.
7. Program portfolio (modelled),prog_completion_Partner Capacity,Partner Capacity: completion rate,0.46,%,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Share of enrolled participants who complete the program.
7. Program portfolio (modelled),prog_gain_Partner Capacity,Partner Capacity: average salary gain per outcome,46500,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"The blended average salary gain implied by this program mix is compared in 06_Program_Economics against the $58,790 the organization published for 2025. The mix was tuned so the implied figure lands within about 1% of the published number, which is a weak but real external check on the synthetic layer."
7. Program portfolio (modelled),prog_hours_Partner Capacity,Partner Capacity: staff hours per participant,15.584555382215262,hours,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Drives the staff capacity constraint in the allocation model.
7. Program portfolio (modelled),prog_directshare_Partner Capacity,Partner Capacity: direct cost share,0.64,% of program cost,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Remainder is allocated indirect cost.
7. Program portfolio (modelled),prog_maxpart_Partner Capacity,Partner Capacity: maximum servable participants,1500,people,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Demand and delivery ceiling; binds the allocation model.
7. Program portfolio (modelled),prog_minfund_Partner Capacity,Partner Capacity: minimum viable funding,700000,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Below this the program cannot retain its delivery team.
8. Personnel (modelled),fte_2024,FY2024 full-time equivalents,121,FTE,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"FY2024 salaries of $10,260,344 (officer compensation plus other salaries, both public) divided by an assumed 121 FTE gives an average salary of $84,796, which is plausible for a national workforce-development nonprofit with a professional staff. Fully loaded cost applies a 7.82% payroll tax rate derived from the FY2023 filing and an assumed 10% benefits load."
8. Personnel (modelled),avg_salary_2024,FY2024 average salary,84796.23140495867,USD,DERIVED,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Public salary total divided by assumed FTE.
8. Personnel (modelled),payroll_tax_rate,Payroll tax rate,0.0782,% of salary,DERIVED,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","FY2023 payroll tax divided by FY2023 salaries, both public."
8. Personnel (modelled),benefits_rate,Benefits load,0.1,% of salary,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Health, retirement and other benefits as a share of salary."
8. Personnel (modelled),staff_hours_per_fte,Productive hours per FTE per year,1680,hours,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"2,080 gross hours less leave, training and non-delivery time."
8. Personnel (modelled),program_fte_share,Share of FTE in program delivery,0.74,%,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Balance sits in administration and fundraising.
8. Personnel (modelled),program_hours_reconciliation,Staff hours reconciliation,"Staff hours per participant are set so that total program delivery hours reconcile to the assumed staffing model: 121 FTE x 74% program share x 1,680 productive hours = 150,450 program delivery hours in FY2024. The four programs' hours sum to that figure, which keeps the capacity constraint in the allocation model consistent with the personnel cost in the P&L instead of being a free-floating assumption.",text,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Ties the capacity constraint to the personnel cost line.
8b. Cost behaviour (modelled),avg_gift_inflation,Average gift inflation,0.02,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Average gift is assumed to grow 2.0% a year with general giving inflation. The remainder of each category's growth driver is carried by donor count: donor growth = (1 + category growth) / (1 + 2.0%) - 1. This keeps both halves of the revenue driver visible and independently stressable rather than collapsing them into a single percentage.
8b. Cost behaviour (modelled),mg_variable_share,"Management and general, variable share",0.35,% variable,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Management and general is modelled as 35% variable with program scale and 65% fixed; fundraising as 50% variable with contribution scale. Both also carry personnel inflation. The consequence is real and worth stating: in the Downside case, support costs do not fall as fast as revenue, so the program expense ratio deteriorates exactly when the organization can least afford the optics of it."
8b. Cost behaviour (modelled),fr_variable_share,"Fundraising, variable share",0.5,% variable,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Management and general is modelled as 35% variable with program scale and 65% fixed; fundraising as 50% variable with contribution scale. Both also carry personnel inflation. The consequence is real and worth stating: in the Downside case, support costs do not fall as fast as revenue, so the program expense ratio deteriorates exactly when the organization can least afford the optics of it."
8b. Cost behaviour (modelled),opex_Marketing and outreach,"Marketing and outreach, share of non-personnel spend",0.185,% of non-personnel,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Used to split the non-personnel expense plug into reportable operating categories.
8b. Cost behaviour (modelled),opex_Technology and platforms,"Technology and platforms, share of non-personnel spend",0.235,% of non-personnel,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Used to split the non-personnel expense plug into reportable operating categories.
8b. Cost behaviour (modelled),opex_Facilities and occupancy,"Facilities and occupancy, share of non-personnel spend",0.21,% of non-personnel,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Used to split the non-personnel expense plug into reportable operating categories.
8b. Cost behaviour (modelled),opex_Travel and convening,"Travel and convening, share of non-personnel spend",0.095,% of non-personnel,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Used to split the non-personnel expense plug into reportable operating categories.
8b. Cost behaviour (modelled),opex_Professional services,"Professional services, share of non-personnel spend",0.15,% of non-personnel,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Used to split the non-personnel expense plug into reportable operating categories.
8b. Cost behaviour (modelled),opex_Other operating,"Other operating, share of non-personnel spend",0.125,% of non-personnel,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,Used to split the non-personnel expense plug into reportable operating categories.
9. Balance sheet composition (modelled),bs_Cash and cash equivalents,FY2024 Cash and cash equivalents,16850000,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Sums to the real FY2024 total assets of $42,583,791. The split matters because cash runway is computed two ways - on cash alone and on cash plus short-term investments - and the gap between those two numbers is a live governance question for this organization."
9. Balance sheet composition (modelled),bs_Short-term investments,FY2024 Short-term investments,19400000,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Sums to the real FY2024 total assets of $42,583,791. The split matters because cash runway is computed two ways - on cash alone and on cash plus short-term investments - and the gap between those two numbers is a live governance question for this organization."
9. Balance sheet composition (modelled),bs_Grants and pledges receivable,FY2024 Grants and pledges receivable,5100000,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Sums to the real FY2024 total assets of $42,583,791. The split matters because cash runway is computed two ways - on cash alone and on cash plus short-term investments - and the gap between those two numbers is a live governance question for this organization."
9. Balance sheet composition (modelled),"bs_Property, equipment and other assets","FY2024 Property, equipment and other assets",1233791,USD,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Sums to the real FY2024 total assets of $42,583,791. The split matters because cash runway is computed two ways - on cash alone and on cash plus short-term investments - and the gap between those two numbers is a live governance question for this organization."
10. Scenario drivers (modelled),drv_growth_individual_Downside,Individual donation growth - Downside,-0.12,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Emergency appropriations lapse without replacement and a major foundation cycles out. Government funding falls 30% a year and foundation grants 22%. Cost per participant inflation runs at 7% because the fixed cost base does not shrink as fast as volume. This is the case the reserve exists for, and the case the minimum-funding analysis is built around."
10. Scenario drivers (modelled),drv_growth_individual_Base,Individual donation growth - Base,0.04,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Humanitarian-response funding normalizes gradually. Foundation grants decline 6% a year and government funding 10% a year as emergency appropriations lapse, partly offset by growth in individual, corporate and earned revenue. Participants grow 6% a year and cost per participant rises 3.5%. Management holds headcount roughly flat in real terms."
10. Scenario drivers (modelled),drv_growth_individual_Upside,Individual donation growth - Upside,0.12,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,The organization converts surge-period relationships into durable multi-year commitments. Foundation funding resumes growth at 8% and government funding stabilizes. Corporate partnerships scale with the employer network. Participants grow 16% a year while cost per participant inflation stays at 2% through digital channel mix shift.
10. Scenario drivers (modelled),drv_growth_corporate_Downside,Corporate donation growth - Downside,-0.15,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Emergency appropriations lapse without replacement and a major foundation cycles out. Government funding falls 30% a year and foundation grants 22%. Cost per participant inflation runs at 7% because the fixed cost base does not shrink as fast as volume. This is the case the reserve exists for, and the case the minimum-funding analysis is built around."
10. Scenario drivers (modelled),drv_growth_corporate_Base,Corporate donation growth - Base,0.03,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Humanitarian-response funding normalizes gradually. Foundation grants decline 6% a year and government funding 10% a year as emergency appropriations lapse, partly offset by growth in individual, corporate and earned revenue. Participants grow 6% a year and cost per participant rises 3.5%. Management holds headcount roughly flat in real terms."
10. Scenario drivers (modelled),drv_growth_corporate_Upside,Corporate donation growth - Upside,0.14,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,The organization converts surge-period relationships into durable multi-year commitments. Foundation funding resumes growth at 8% and government funding stabilizes. Corporate partnerships scale with the employer network. Participants grow 16% a year while cost per participant inflation stays at 2% through digital channel mix shift.
10. Scenario drivers (modelled),drv_growth_foundation_Downside,Foundation grant growth - Downside,-0.22,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Emergency appropriations lapse without replacement and a major foundation cycles out. Government funding falls 30% a year and foundation grants 22%. Cost per participant inflation runs at 7% because the fixed cost base does not shrink as fast as volume. This is the case the reserve exists for, and the case the minimum-funding analysis is built around."
10. Scenario drivers (modelled),drv_growth_foundation_Base,Foundation grant growth - Base,-0.06,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Humanitarian-response funding normalizes gradually. Foundation grants decline 6% a year and government funding 10% a year as emergency appropriations lapse, partly offset by growth in individual, corporate and earned revenue. Participants grow 6% a year and cost per participant rises 3.5%. Management holds headcount roughly flat in real terms."
10. Scenario drivers (modelled),drv_growth_foundation_Upside,Foundation grant growth - Upside,0.08,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,The organization converts surge-period relationships into durable multi-year commitments. Foundation funding resumes growth at 8% and government funding stabilizes. Corporate partnerships scale with the employer network. Participants grow 16% a year while cost per participant inflation stays at 2% through digital channel mix shift.
10. Scenario drivers (modelled),drv_growth_government_Downside,Government funding growth - Downside,-0.3,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Emergency appropriations lapse without replacement and a major foundation cycles out. Government funding falls 30% a year and foundation grants 22%. Cost per participant inflation runs at 7% because the fixed cost base does not shrink as fast as volume. This is the case the reserve exists for, and the case the minimum-funding analysis is built around."
10. Scenario drivers (modelled),drv_growth_government_Base,Government funding growth - Base,-0.1,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Humanitarian-response funding normalizes gradually. Foundation grants decline 6% a year and government funding 10% a year as emergency appropriations lapse, partly offset by growth in individual, corporate and earned revenue. Participants grow 6% a year and cost per participant rises 3.5%. Management holds headcount roughly flat in real terms."
10. Scenario drivers (modelled),drv_growth_government_Upside,Government funding growth - Upside,0.05,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,The organization converts surge-period relationships into durable multi-year commitments. Foundation funding resumes growth at 8% and government funding stabilizes. Corporate partnerships scale with the employer network. Participants grow 16% a year while cost per participant inflation stays at 2% through digital channel mix shift.
10. Scenario drivers (modelled),drv_growth_events_Downside,Fundraising event growth - Downside,-0.1,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Emergency appropriations lapse without replacement and a major foundation cycles out. Government funding falls 30% a year and foundation grants 22%. Cost per participant inflation runs at 7% because the fixed cost base does not shrink as fast as volume. This is the case the reserve exists for, and the case the minimum-funding analysis is built around."
10. Scenario drivers (modelled),drv_growth_events_Base,Fundraising event growth - Base,0.02,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Humanitarian-response funding normalizes gradually. Foundation grants decline 6% a year and government funding 10% a year as emergency appropriations lapse, partly offset by growth in individual, corporate and earned revenue. Participants grow 6% a year and cost per participant rises 3.5%. Management holds headcount roughly flat in real terms."
10. Scenario drivers (modelled),drv_growth_events_Upside,Fundraising event growth - Upside,0.09,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,The organization converts surge-period relationships into durable multi-year commitments. Foundation funding resumes growth at 8% and government funding stabilizes. Corporate partnerships scale with the employer network. Participants grow 16% a year while cost per participant inflation stays at 2% through digital channel mix shift.
10. Scenario drivers (modelled),drv_growth_program_revenue_Downside,Program service revenue growth - Downside,-0.05,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Emergency appropriations lapse without replacement and a major foundation cycles out. Government funding falls 30% a year and foundation grants 22%. Cost per participant inflation runs at 7% because the fixed cost base does not shrink as fast as volume. This is the case the reserve exists for, and the case the minimum-funding analysis is built around."
10. Scenario drivers (modelled),drv_growth_program_revenue_Base,Program service revenue growth - Base,0.08,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Humanitarian-response funding normalizes gradually. Foundation grants decline 6% a year and government funding 10% a year as emergency appropriations lapse, partly offset by growth in individual, corporate and earned revenue. Participants grow 6% a year and cost per participant rises 3.5%. Management holds headcount roughly flat in real terms."
10. Scenario drivers (modelled),drv_growth_program_revenue_Upside,Program service revenue growth - Upside,0.18,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,The organization converts surge-period relationships into durable multi-year commitments. Foundation funding resumes growth at 8% and government funding stabilizes. Corporate partnerships scale with the employer network. Participants grow 16% a year while cost per participant inflation stays at 2% through digital channel mix shift.
10. Scenario drivers (modelled),drv_inflation_cpp_Downside,Cost per participant inflation - Downside,0.07,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Emergency appropriations lapse without replacement and a major foundation cycles out. Government funding falls 30% a year and foundation grants 22%. Cost per participant inflation runs at 7% because the fixed cost base does not shrink as fast as volume. This is the case the reserve exists for, and the case the minimum-funding analysis is built around."
10. Scenario drivers (modelled),drv_inflation_cpp_Base,Cost per participant inflation - Base,0.035,% per year,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Humanitarian-response funding normalizes gradually. Foundation grants decline 6% a year and government funding 10% a year as emergency appropriations lapse, partly offset by growth in individual, corporate and earned revenue. Participants grow 6% a year and cost per participant rises 3.5%. Management holds headcount roughly flat in real terms."
